"","X","연번","호선","역번호","역명","경로","장애","유공자","total","ratio","elevator","moving.walk","wheelchair.lift","facility.total"
"62",69,69,"3호선",317,"경복궁(정부서울청사)",981805,139397,11557,7741464,0.0180065424317674,2,0,0,2
"63",92,92,"3호선",341,"경찰병원",396439,58846,3406,2285780,0.0257443848489356,4,0,0,4
"64",80,80,"3호선",329,"고속터미널",1812767,240898,15980,15902543,0.015148394819621,2,0,1,3
"65",81,81,"3호선",330,"교대(법원.검찰청)",674600,78809,8954,4471756,0.0176237254447693,2,0,1,3
"66",62,62,"3호선",310,"구파발",1125071,183405,13385,6870620,0.0266940974759192,2,0,0,2
"67",75,75,"3호선",324,"금호",528106,63035,3254,2608554,0.0241647288114411,3,0,0,3
"68",82,82,"3호선",331,"남부터미널(예술의전당)",1133339,161069,15655,9492108,0.0169687281265658,3,0,0,3
"69",65,65,"3호선",313,"녹번",733034,116514,9045,5021156,0.0232046166261315,3,0,0,3
"70",88,88,"3호선",337,"대청",546196,99862,6027,3232388,0.0308941872077238,3,0,0,3
"71",86,86,"3호선",335,"대치",645622,54372,4797,3768937,0.0144263488617613,2,0,0,2
"72",85,85,"3호선",334,"도곡",245937,24803,1621,1651304,0.0150202506625067,0,0,0,0
"73",68,68,"3호선",316,"독립문",649825,93679,4300,2393113,0.0391452472156559,2,0,0,2
"74",73,73,"3호선",322,"동대입구",356151,50828,3211,3043787,0.0166989345837932,3,0,0,3
"75",84,84,"3호선",333,"매봉",616024,69037,6563,3821943,0.0180633253818804,3,0,0,3
"76",67,67,"3호선",315,"무악재",287109,37136,2837,1279789,0.0290172833177969,3,0,0,3
"77",64,64,"3호선",312,"불광",1342234,189220,11429,5368601,0.0352456813236819,3,0,0,3
"78",90,90,"3호선",339,"수서",948171,223350,14937,5797736,0.0385236582003734,4,0,0,4
"79",78,78,"3호선",327,"신사",681224,105810,7086,9677347,0.0109337817482415,4,0,0,4
"80",70,70,"3호선",318,"안국",917680,122454,11131,7650539,0.0160059310853784,2,0,0,2
"81",77,77,"3호선",326,"압구정",1328473,140511,9232,10393130,0.0135196038152125,4,0,0,4
"82",74,74,"3호선",323,"약수",772622,123961,7298,4230836,0.0292994103293061,2,0,0,2
"83",83,83,"3호선",332,"양재(서초구청)",1435512,191684,18389,11706676,0.0163739049410781,4,0,0,4
"84",63,63,"3호선",311,"연신내",2452955,393181,20362,11989479,0.0327938353284576,1,0,0,1
"85",93,93,"3호선",342,"오금",277652,44406,3563,1986515,0.0223537199568088,3,0,0,3
"86",76,76,"3호선",325,"옥수",587201,62695,3894,2956111,0.0212086082017894,3,0,0,3
"87",72,72,"3호선",320,"을지로3가",473979,67685,6600,3303779,0.0204871451752675,2,0,0,2
"88",89,89,"3호선",338,"일원",604143,95266,5166,3244478,0.0293625045384805,4,0,0,4
"89",79,79,"3호선",328,"잠원",303998,32082,2059,1581650,0.0202838807574369,3,0,0,3
"90",71,71,"3호선",319,"종로3가",539194,103218,6517,3155450,0.0327110237842463,2,2,0,4
"91",61,61,"3호선",309,"지축",254613,53408,3381,1704644,0.0313308819906092,1,0,0,1
"92",87,87,"3호선",336,"학여울",168862,19195,1669,777240,0.0246963614842262,3,0,0,3
"93",66,66,"3호선",314,"홍제",1357680,190518,8203,5793306,0.0328858858827757,3,0,0,3
"94",102,102,"4호선",417,"길음",1108076,168228,9575,6866367,0.0245002925127655,3,0,0,3
"95",119,119,"4호선",434,"남태령",85221,10928,1729,434550,0.0251478541019445,3,0,0,3
"96",96,96,"4호선",411,"노원",813682,182549,9204,6292567,0.0290102592471403,4,0,0,4
"97",94,94,"4호선",409,"당고개",717102,139478,6578,3267304,0.0426890182241995,3,0,0,3
"98",106,106,"4호선",421,"동대문",1433203,225419,12547,6162512,0.0365790768439883,2,0,0,2
"99",107,107,"4호선",422,"동대문역사문화공원(DDP)",533250,102791,6375,5163083,0.0199088412872696,2,0,0,2
"100",116,116,"4호선",431,"동작(현충원)",153944,17120,2465,525504,0.0325782486907807,2,0,0,2
"101",109,109,"4호선",424,"명동",589974,115817,7722,7346390,0.0157651581252833,2,0,0,2
"102",100,100,"4호선",415,"미아(서울사이버대학)",1018778,192307,7085,4917696,0.039105101250667,3,0,0,3
"103",101,101,"4호선",416,"미아사거리",1675442,311415,11985,9001341,0.0345965117864105,2,0,0,2
"104",118,118,"4호선",433,"사당",903782,123464,13556,8703878,0.0141849414709168,2,0,1,3
"105",113,113,"4호선",428,"삼각지",220254,47307,4993,1763835,0.0268205359344837,5,0,0,5
"106",95,95,"4호선",410,"상계",1096148,223846,9840,6255836,0.0357819482480039,1,0,2,3
"107",111,111,"4호선",426,"서울역",335496,82463,5454,3601541,0.0228965878772448,2,0,1,3
"108",103,103,"4호선",418,"성신여대입구(돈암)",797091,139173,7904,6897641,0.0201768981598201,4,0,0,4
"109",99,99,"4호선",414,"수유(강북구청)",1738756,354410,19160,11208114,0.0316208418294104,3,0,0,3
"110",112,112,"4호선",427,"숙대입구(갈월)",477807,109135,6178,4564797,0.0239079634866567,3,0,0,3
"111",114,114,"4호선",429,"신용산",462789,104196,8302,5559382,0.0187423710045469,4,0,0,4
