호선,역명,elevator,escalator,moving.walk,wheelchair.lift,total
6,동묘앞,2,12,0,2,16
6,창신,3,3,0,0,6
6,보문,1,2,0,0,3
6,안암,3,6,0,0,9
6,고려대,4,12,0,0,16
6,월곡,3,12,0,1,16
6,상월곡,1,6,0,2,9
6,돌곶이,3,4,0,0,7
6,석계,4,14,2,2,22
6,태릉입구,4,14,0,0,18
6,화랑대,4,4,0,0,8
6,봉화산,2,4,0,2,8
6,신내,1,2,0,0,3
7,장암,2,0,0,0,2
7,도봉산,5,0,0,0,5
7,수락산,1,6,0,2,9
7,마들,4,8,0,1,13
7,노원,4,15,0,0,19
7,중계,3,10,0,0,13
7,하계,3,6,0,0,9
7,공릉,3,6,0,0,9
7,태릉입구,2,8,0,0,10
7,먹골,3,6,0,0,9
7,중화,3,6,0,0,9
7,상봉,5,6,0,0,11
7,면목,3,6,0,0,9
7,사가정,3,10,0,0,13
7,용마산,3,8,0,0,11
7,중곡,3,4,0,0,7
7,군자,1,6,0,0,7
7,어린이대공원,4,6,0,0,10
7,건대입구,2,11,0,3,16
7,뚝섬유원지,3,4,0,0,7
7,청담,2,16,0,2,20
7,강남구청,2,7,0,1,10
7,학동,3,10,0,0,13
7,논현,3,19,0,1,23
7,반포,4,6,0,1,11
7,고속터미널,2,21,0,4,27
7,내방,5,10,0,0,15
7,이수,3,23,2,4,32
7,남성,4,14,0,0,18
7,숭실대입구,4,12,0,0,16
7,상도,3,11,0,0,14
7,장승배기,3,14,0,0,17
7,신대방삼거리,4,12,0,0,16
7,보라매,2,4,0,0,6
7,신풍,4,4,0,0,8
7,대림,3,13,0,1,17
7,남구로,0,12,0,11,23
7,가산디지털단지,4,12,0,4,20
7,철산,4,6,0,0,10
7,광명사거리,2,2,0,1,5
7,천왕,4,6,0,0,10
7,온수,3,16,2,5,26
8,암사,3,4,0,0,7
8,천호,2,0,0,0,2
8,강동구청,3,5,0,0,8
8,몽촌토성,4,8,0,0,12
8,잠실,3,5,0,3,11
8,석촌,3,0,0,0,3
8,송파,4,4,0,0,8
8,가락시장,6,12,0,0,18
8,문정,4,8,0,0,12
8,장지,4,6,0,0,10
8,복정,1,3,0,1,5
8,남위례,3,7,0,0,10
8,산성,4,13,0,0,17
8,남한산성입구,2,4,0,0,6
8,단대오거리,3,6,0,0,9
8,신흥,2,0,0,0,2
8,수진,3,0,0,0,3
8,모란,3,2,0,2,7
