"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio","lat","long"
"307","합계","구로구","구로2동",1447,841,606,30093,0.0480842720898548,37.491377,126.8834703
"297","합계","구로구","구로3동",924,538,386,25055,0.0368788664937138,37.4873799,126.8903678
"298","합계","구로구","구로4동",1229,700,529,23052,0.0533142460524033,37.4916271,126.8891697
"299","합계","구로구","구로5동",1164,699,465,31740,0.0366729678638941,37.5001593,126.8892945
"305","합계","구로구","수궁동",1279,769,510,23332,0.0548174181381793,37.4939422,126.8314627
"295","합계","구로구","신도림동",954,565,389,36138,0.026398804582434,37.5077664,126.8805826
"304","합계","구로구","오류1동",1137,662,475,23126,0.0491654414944219,37.497009,126.845201
"309","합계","구로구","오류2동",2104,1209,895,38528,0.054609634551495,37.4888016,126.8395371
"313","합계","금천구","가산동",751,479,272,26569,0.0282660243140502,37.4769094,126.8917326
"314","합계","금천구","독산1동",2054,1236,818,47573,0.0431757509511698,37.4702453,126.897041
"315","합계","금천구","독산2동",970,603,367,19562,0.0495859319088028,37.4631474,126.9034825
"316","합계","금천구","독산3동",1235,765,470,27239,0.0453394030617864,37.4751198,126.9032524
"317","합계","금천구","독산4동",798,505,293,16432,0.0485637779941577,37.4675452,126.9022074
"318","합계","금천구","시흥1동",1688,1003,685,34054,0.0495683326481471,37.4535411,126.9032625
"319","합계","금천구","시흥2동",1131,648,483,20832,0.0542914746543779,37.4495487,126.9148345
"320","합계","금천구","시흥3동",548,330,218,10701,0.0512101672740865,37.4403095,126.9057945
"321","합계","금천구","시흥4동",1172,699,473,20614,0.0568545648588338,37.459029,126.9061924
"322","합계","금천구","시흥5동",1268,737,531,19242,0.0658975158507432,37.4523912,126.908294
"198","합계","노원구","공릉1동",2203,1241,962,37184,0.0592459122203098,37.624874,127.073838
"183","합계","노원구","공릉2동",1391,780,611,42538,0.0327001739621045,37.621332,127.083488
"194","합계","노원구","상계10동",575,327,248,18477,0.0311197705255182,37.661274,127.060225
"189","합계","노원구","상계1동",1911,1094,817,37857,0.0504794357714557,37.6799006,127.0549781
"190","합계","노원구","상계2동",849,485,364,19629,0.0432523307351368,37.6574727,127.0678377
"195","합계","노원구","상계3.4동",1617,900,717,25324,0.0638524719633549,37.6729133,127.0832665
"191","합계","노원구","상계5동",1292,744,548,23737,0.0544297931499347,37.6627392,127.069498
"196","합계","노원구","상계6.7동",1263,681,582,32044,0.039414554986893,37.654882,127.0669541
"192","합계","노원구","상계8동",723,378,345,22344,0.0323576799140709,37.6667854,127.0515874
"193","합계","노원구","상계9동",722,406,316,20071,0.0359722983408898,37.664553,127.0638347
"180","합계","노원구","월계1동",933,541,392,21580,0.0432344763670065,37.6199197,127.0630165
"181","합계","노원구","월계2동",2230,1266,964,26066,0.0855520601549912,37.6325377,127.0508
"182","합계","노원구","월계3동",1973,1057,916,29384,0.06714538524367,37.6210475,127.0692485
"187","합계","노원구","중계1동",727,401,326,26580,0.0273513920240783,37.6525986,127.0775275
"197","합계","노원구","중계2.3동",3096,1668,1428,33497,0.0924261874197689,37.6421829,127.0687126
"188","합계","노원구","중계4동",1471,798,673,19601,0.075047191469823,37.6587275,127.0780091
"186","합계","노원구","중계본동",743,416,327,23477,0.0316479959108915,37.64784,127.080338
"184","합계","노원구","하계1동",1994,1049,945,26982,0.073901119264695,37.6405374,127.0725852
"185","합계","노원구","하계2동",983,515,468,21642,0.0454209407633306,37.6320048,127.0679733
"176","합계","도봉구","도봉1동",1478,868,610,20622,0.0716710309378334,37.6786913,127.0434369
"177","합계","도봉구","도봉2동",1477,857,620,26359,0.0560339921848325,37.669751,127.046575
"168","합계","도봉구","방학1동",1484,883,601,28410,0.0522351284758888,37.6641763,127.0407251
"169","합계","도봉구","방학2동",1243,730,513,19354,0.0642244497261548,37.6681842,127.0351005
"170","합계","도봉구","방학3동",1035,605,430,26500,0.0390566037735849,37.6591685,127.028036
"164","합계","도봉구","쌍문1동",1159,660,499,21445,0.0540452319888086,37.6480275,127.0261145
"165","합계","도봉구","쌍문2동",929,542,387,18461,0.0503223010671145,37.6579935,127.0389254
"166","합계","도봉구","쌍문3동",853,470,383,16934,0.0503720325971418,37.6489775,127.0278643
"167","합계","도봉구","쌍문4동",652,352,300,18348,0.0355352081970787,37.656482,127.028425
"171","합계","도봉구","창1동",992,556,436,24502,0.0404864908987021,37.6483046,127.0438683
"172","합계","도봉구","창2동",1347,774,573,28957,0.0465172497150948,37.6414033,127.0356387
"173","합계","도봉구","창3동",782,483,299,13633,0.0573608156678647,37.6381278,127.0429556
"174","합계","도봉구","창4동",956,526,430,26121,0.036598905095517,37.6522276,127.0515994
"175","합계","도봉구","창5동",958,560,398,24343,0.0393542291418478,37.6563436,127.0436793
"106","합계","동대문구","답십리1동",1069,602,467,28530,0.0374693305292674,37.5717963,127.0512678
"101","합계","동대문구","답십리2동",1427,822,605,28055,0.0508643735519515,37.567417,127.06125
"97","합계","동대문구","용신동",1582,942,640,36137,0.0437778454215901,37.5758185,127.0372169
"104","합계","동대문구","이문1동",783,480,303,21366,0.0366470092670598,37.597849,127.06545
"105","합계","동대문구","이문2동",1023,594,429,20183,0.0506862210771441,37.6033571,127.065075
"102","합계","동대문구","장안1동",1666,987,679,38677,0.0430746955554981,37.567842,127.066375
"103","합계","동대문구","장안2동",1323,781,542,32685,0.0404772831574117,37.578483,127.0706
"99","합계","동대문구","전농1동",1432,832,600,29220,0.0490075290896646,37.5779984,127.0477575
"100","합계","동대문구","전농2동",900,505,395,18629,0.0483117719684363,37.5781027,127.0600375
"98","합계","동대문구","제기동",1391,778,613,26484,0.0525222776015708,37.5831612,127.0378551
"96","합계","동대문구","청량리동",1221,703,518,19094,0.0639467895674034,37.5862586,127.0472767
"93","합계","동대문구","회기동",313,182,131,13536,0.0231235224586288,37.5908083,127.0553132
"94","합계","동대문구","휘경1동",483,284,199,16339,0.0295611726543852,37.592932,127.065725
"95","합계","동대문구","휘경2동",868,506,362,24666,0.0351901402740615,37.5902093,127.0685788
"358","합계","동작구","노량진1동",1251,704,547,32114,0.0389549729090116,37.512308,126.942013
"345","합계","동작구","노량진2동",545,313,232,11234,0.0485134413387929,37.508509,126.937352
"354","합계","동작구","대방동",1542,866,676,37056,0.0416126943005181,37.508133,126.92635
"350","합계","동작구","사당1동",754,453,301,23009,0.0327697857360163,37.4830639,126.9786682
"359","합계","동작구","사당2동",948,540,408,28786,0.0329326756061975,37.4887323,126.9792598
"351","합계","동작구","사당3동",767,469,298,24189,0.0317086278887097,37.4845247,126.9734908
"352","합계","동작구","사당4동",560,323,237,14185,0.0394783221713077,37.4809888,126.9716704
"353","합계","동작구","사당5동",538,306,232,14434,0.0372731051683525,37.4857521,126.9668658
"346","합계","동작구","상도1동",1464,832,632,46166,0.0317116492656934,37.4981,126.953089
"347","합계","동작구","상도2동",909,521,388,27982,0.0324851690372382,37.5055197,126.942296
"348","합계","동작구","상도3동",1133,623,510,24456,0.0463280994438992,37.4991123,126.9313793
"349","합계","동작구","상도4동",1318,796,522,28564,0.046141996919199,37.4994203,126.941422
"355","합계","동작구","신대방1동",823,471,352,25118,0.0327653475595191,37.488943,126.91005
"356","합계","동작구","신대방2동",781,445,336,22445,0.034796168411673,37.4984422,126.9244085
"357","합계","동작구","흑석동",984,557,427,30694,0.0320583827458135,37.5058617,126.966612
"249","합계","마포구","공덕동",1475,849,626,37476,0.0393585227879176,37.550192,126.960025
"236","합계","마포구","대흥동",474,274,200,16177,0.0293008592446065,37.5557827,126.9424619
"247","합계","마포구","도화동",738,390,348,21118,0.0349464911449948,37.5415123,126.9498798
"241","합계","마포구","망원1동",757,438,319,19757,0.0383155337348788,37.5556222,126.9055969
"242","합계","마포구","망원2동",742,430,312,18449,0.0402189820586482,37.5602495,126.9023578
"246","합계","마포구","상암동",1177,653,524,30837,0.038168434024062,37.578325,126.8946875
"248","합계","마포구","서강동",675,371,304,25576,0.0263919299343134,37.5477577,126.9321095
"239","합계","마포구","서교동",667,403,264,26674,0.0250056234535503,37.5551015,126.914588
"244","합계","마포구","성산1동",662,376,286,19079,0.0346978353163164,37.5634083,126.90785
"245","합계","마포구","성산2동",2000,1076,924,39500,0.0506329113924051,37.568618,126.9090061
"238","합계","마포구","신수동",674,403,271,22672,0.0297282992237121,37.5471182,126.9351878
"250","합계","마포구","아현동",681,401,280,26184,0.0260082493125573,37.547125,126.95215
"243","합계","마포구","연남동",487,267,220,15603,0.0312119464205602,37.564501,126.922027
"237","합계","마포구","염리동",528,285,243,17633,0.0299438552713662,37.547083,126.94565
"235","합계","마포구","용강동",613,339,274,21786,0.0281373359037914,37.5422119,126.9426766
"240","합계","마포구","합정동",554,315,239,17064,0.0324660103141116,37.5516561,126.9118888
"225","합계","서대문구","남가좌1동",552,290,262,16884,0.0326936744847193,37.573295,126.9197232
"226","합계","서대문구","남가좌2동",1185,645,540,30508,0.0388422708797692,37.5784658,126.9238889
"227","합계","서대문구","북가좌1동",692,385,307,17804,0.0388676701864749,37.57429,126.910194
"228","합계","서대문구","북가좌2동",1545,866,679,31244,0.0494494943029062,37.5815,126.9112
"230","합계","서대문구","북아현동",565,322,243,15875,0.0355905511811024,37.5595,126.957025
"231","합계","서대문구","신촌동",470,241,229,26143,0.017978043835826,37.5640923,126.9418114
"232","합계","서대문구","연희동",1178,674,504,37428,0.0314737629582131,37.5739083,126.9351754
"219","합계","서대문구","천연동",701,387,314,17031,0.0411602372144912,37.5711247,126.9590332
"229","합계","서대문구","충현동",724,432,292,20316,0.0356369364048041,37.5648265,126.9546863
"223","합계","서대문구","홍은1동",1053,556,497,22825,0.0461336254107338,37.5989056,126.9471111
"224","합계","서대문구","홍은2동",1237,701,536,27499,0.0449834539437798,37.5801972,126.9342509
"220","합계","서대문구","홍제1동",948,526,422,24674,0.0384210099700089,37.5876988,126.9448779
"222","합계","서대문구","홍제2동",606,316,290,13433,0.0451127819548872,37.586107,126.949338
"221","합계","서대문구","홍제3동",892,514,378,17890,0.0498602571268865,37.5938295,126.9496737
"402","합계","서초구","내곡동",825,504,321,17455,0.0472643941564022,37.4493583,127.0583103
"391","합계","서초구","반포1동",619,377,242,34443,0.0179717213947682,37.5050895,127.0135073
"392","합계","서초구","반포2동",232,129,103,15742,0.0147376445178503,37.5046022,126.9945091
"393","합계","서초구","반포3동",403,220,183,22773,0.0176963948535546,37.5120925,127.0056289
"394","합계","서초구","반포4동",351,211,140,19486,0.0180129323616956,37.4974314,127.0003853
"390","합계","서초구","반포본동",3,1,2,292,0.0102739726027397,37.5004776,126.98606
"396","합계","서초구","방배1동",464,263,201,16883,0.0274832671918498,37.4832801,126.9945569
"397","합계","서초구","방배2동",655,383,272,18553,0.0353042634614348,37.4797439,126.9855106
"398","합계","서초구","방배3동",378,225,153,17321,0.021823220368339,37.4784409,126.9999918
"399","합계","서초구","방배4동",581,343,238,23429,0.0247983268598745,37.489007,126.9923344
"395","합계","서초구","방배본동",485,295,190,20778,0.0233419963422851,37.4941452,126.988785
"385","합계","서초구","서초1동",458,257,201,20622,0.0222092910483949,37.4901186,127.0195082
"386","합계","서초구","서초2동",461,281,180,26932,0.0171171840190108,37.49208,127.02496
"387","합계","서초구","서초3동",728,436,292,32379,0.0224837085765465,37.4836682,127.0119725
"388","합계","서초구","서초4동",489,315,174,30521,0.0160217555125979,37.5026685,127.0221589
"400","합계","서초구","양재1동",1858,1024,834,42683,0.0435302110910667,37.4716412,127.026744
"401","합계","서초구","양재2동",672,432,240,21766,0.0308738399338418,37.470601,127.041188
"389","합계","서초구","잠원동",496,308,188,26393,0.0187928617436441,37.5149619,127.0140771
"63","합계","성동구","금호1가동",663,359,304,15137,0.0437999603620268,37.5549008,127.0216354
"72","합계","성동구","금호2.3가동",931,513,418,22423,0.0415198679926861,37.5532922,127.0209487
"64","합계","성동구","금호4가동",538,305,233,14228,0.0378127635648018,37.5471987,127.02241
"58","합계","성동구","마장동",1047,617,430,22706,0.0461111600458029,37.566325,127.045388
"59","합계","성동구","사근동",355,186,169,14082,0.0252094872887374,37.5614846,127.0453315
"65","합계","성동구","성수1가1동",580,347,233,16407,0.0353507649174133,37.542108,127.04965
"66","합계","성동구","성수1가2동",448,244,204,12322,0.0363577341340691,37.5462991,127.0443325
"67","합계","성동구","성수2가1동",728,458,270,15716,0.0463222193942479,37.5395907,127.0540659
"68","합계","성동구","성수2가3동",409,249,160,10520,0.0388783269961977,37.5482223,127.0552645
"69","합계","성동구","송정동",475,288,187,10464,0.0453937308868502,37.5545217,127.0696004
"73","합계","성동구","옥수동",724,411,313,25843,0.0280153232983787,37.5436386,127.0134622
"57","합계","성동구","왕십리2동",648,346,302,16688,0.038830297219559,37.561108,127.030488
"71","합계","성동구","왕십리도선동",1001,590,411,26903,0.0372077463479909,37.5678257,127.0255501
"70","합계","성동구","용답동",617,395,222,12551,0.0491594295275277,37.5640618,127.0555515
"62","합계","성동구","응봉동",533,301,232,15100,0.0352980132450331,37.5531636,127.0334357
"60","합계","성동구","행당1동",503,298,205,13996,0.0359388396684767,37.558567,127.036188
"61","합계","성동구","행당2동",892,497,395,23148,0.0385346466217384,37.558208,127.02935
"135","합계","성북구","길음1동",1033,550,483,35000,0.0295142857142857,37.6104856,127.0193925
"136","합계","성북구","길음2동",746,442,304,21728,0.0343335787923417,37.6066647,127.0273155
"127","합계","성북구","돈암1동",606,328,278,14474,0.0418681774215835,37.6034071,127.0263875
"128","합계","성북구","돈암2동",690,394,296,23657,0.0291668427949444,37.598039,127.0105659
"144","합계","성북구","동선동",535,296,239,15870,0.0337114051669817,37.5939824,127.0203666
"130","합계","성북구","보문동",637,359,278,16712,0.0381163235998085,37.580383,127.0228
"143","합계","성북구","삼선동",837,482,355,23044,0.0363218191286235,37.5908326,127.0146297
"146","합계","성북구","석관동",1757,1022,735,35315,0.0497522299306244,37.612957,127.061413
"142","합계","성북구","성북동",547,321,226,16889,0.0323879448161525,37.5911237,127.0032875
"129","합계","성북구","안암동",554,329,225,17118,0.0323635938777895,37.5858498,127.0213292
"137","합계","성북구","월곡1동",1167,670,497,26169,0.0445947495127823,37.6105472,127.0357574
"138","합계","성북구","월곡2동",886,503,383,19739,0.0448857591569988,37.6057667,127.0478758
"139","합계","성북구","장위1동",1176,655,521,24082,0.0488331533925754,37.6141245,127.0437129
"140","합계","성북구","장위2동",707,421,286,13622,0.0519013360739979,37.6123899,127.0545206
"141","합계","성북구","장위3동",587,358,229,15868,0.036992689689942,37.6165512,127.056603
"131","합계","성북구","정릉1동",644,347,297,18197,0.0353904489751058,37.6014512,127.0166146
"132","합계","성북구","정릉2동",962,553,409,22911,0.0419885644450264,37.6044729,127.0111047
"133","합계","성북구","정릉3동",686,394,292,16567,0.0414076175529667,37.6089578,127.004186
"134","합계","성북구","정릉4동",1080,614,466,24911,0.0433543414555819,37.6133387,127.0069798
"145","합계","성북구","종암동",1634,929,705,40111,0.0407369549500137,37.5990075,127.0351572
"444","합계","송파구","가락1동",556,341,215,27521,0.020202754260383,37.4964898,127.1098653
"445","합계","송파구","가락2동",911,532,379,31670,0.0287653931165141,37.4987054,127.1266714
"443","합계","송파구","가락본동",743,455,288,25883,0.0287061005293049,37.4955568,127.1217864
"431","합계","송파구","거여1동",626,373,253,12255,0.0510811913504692,37.4969643,127.1432324
"432","합계","송파구","거여2동",1132,631,501,23745,0.0476731943567067,37.4935803,127.1468764
"433","합계","송파구","마천1동",1220,722,498,18618,0.0655279836717155,37.4960195,127.1499724
"434","합계","송파구","마천2동",1216,708,508,18150,0.0669972451790634,37.4968477,127.1485193
"446","합계","송파구","문정1동",562,337,225,19916,0.0282185177746535,37.4900982,127.1241719
"447","합계","송파구","문정2동",507,312,195,28841,0.0175791408064908,37.489823,127.1108107
"435","합계","송파구","방이1동",411,246,165,15460,0.0265847347994825,37.510933,127.123925
"436","합계","송파구","방이2동",747,438,309,26354,0.0283448432875465,37.5164444,127.1114868
"442","합계","송파구","삼전동",903,538,365,29912,0.0301885530890612,37.502714,127.0925354
"441","합계","송파구","석촌동",1031,620,411,31602,0.0326245174356053,37.503592,127.1037
"439","합계","송파구","송파1동",684,430,254,24008,0.0284905031656115,37.5062595,127.1093393
"440","합계","송파구","송파2동",495,291,204,18947,0.0261255079959888,37.502317,127.1167651
"438","합계","송파구","오금동",1453,816,637,38037,0.0381996477114389,37.5030528,127.1281494
"437","합계","송파구","오륜동",301,168,133,17804,0.0169063131880476,37.515425,127.1343
"455","합계","송파구","위례동",1238,728,510,44613,0.0277497590388452,37.4811656,127.1439378
"452","합계","송파구","잠실2동",601,353,248,34876,0.0172324807890813,37.5119488,127.088559
"453","합계","송파구","잠실3동",681,410,271,34143,0.0199455232404885,37.513333,127.094375
"449","합계","송파구","잠실4동",441,276,165,21223,0.0207793431654337,37.5201089,127.1122668
"450","합계","송파구","잠실6동",390,230,160,16713,0.0233351283432059,37.518142,127.10065
"451","합계","송파구","잠실7동",227,136,91,9427,0.0240797708709027,37.5086777,127.0771146
"448","합계","송파구","잠실본동",771,473,298,28358,0.0271880950701742,37.5061,127.084338
"454","합계","송파구","장지동",1313,770,543,29102,0.045117174077383,37.4785,127.1354
"429","합계","송파구","풍납1동",603,343,260,12910,0.0467079783113865,37.538092,127.122075
"430","합계","송파구","풍납2동",808,476,332,24426,0.0330795054450176,37.5292584,127.1157686
"253","합계","양천구","목1동",696,393,303,30536,0.0227927691904637,37.5303777,126.8712323
"254","합계","양천구","목2동",1056,634,422,29641,0.0356263283964778,37.5461131,126.8717128
