연번,호선,역번호,역명,경로,장애,유공자
152,5,2543,답십리,752564,134895,8828
153,5,2544,장한평,833191,164432,9977
154,5,2545,군자(능동),368602,84564,4614
155,5,2546,아차산(어린이대공원후문),933409,153167,9713
156,5,2547,광나루(장신대),682974,89811,9147
157,5,2548,천호(풍납토성),1233198,196302,13826
158,5,2549,강동,1018861,169583,13486
159,5,2550,길동,696104,105065,5511
160,5,2551,굽은다리(강동구민회관앞),691367,111989,8040
161,5,2552,명일,663036,91040,6115
162,5,2553,고덕,663081,94617,4274
163,5,2554,상일동,856680,121560,11773
164,5,2555,둔촌동,598420,85058,6020
165,5,2556,올림픽공원(한국체대),372803,36876,4457
166,5,2557,방이,451078,53885,2697
167,5,2558,오금,190660,31374,1527
168,5,2559,개롱,447687,76983,2940
169,5,2560,거여,583092,107012,8962
170,5,2561,마천,520008,98114,7078
171,5,2562,강일,318624,57134,4148
172,5,2563,미사,704941,119482,14025
173,5,2564,하남풍산,248886,40338,3231
174,5,2565,하남시청(덕풍·신장),612169,84350,6033
175,5,2566,하남검단산,462697,57600,3877
176,6,2611,응암,1082797,193633,8372
177,6,2612,역촌,304534,51950,2146
178,6,2613,불광,385659,64314,2263
179,6,2614,독바위,185928,30906,1448
180,6,2616,구산,475460,81207,2964
181,6,2617,새절(신사),809758,136081,8255
182,6,2618,증산(명지대앞),663267,121567,6009
183,6,2619,디지털미디어시티,525246,96439,8096
184,6,2620,월드컵경기장(성산),574072,76509,5665
185,6,2621,마포구청,685350,173537,6460
186,6,2622,망원,753942,123015,5738
187,6,2623,합정,370357,70012,4344
188,6,2624,상수,201952,31829,2995
189,6,2625,광흥창(서강),471593,62240,6295
190,6,2626,대흥(서강대앞),445723,65732,4907
191,6,2627,공덕,700472,111569,7771
192,6,2628,효창공원앞,355863,59888,4096
193,6,2629,삼각지,167546,34106,5911
194,6,2630,녹사평(용산구청),171313,26486,1961
195,6,2631,이태원,296818,53093,3210
196,6,2632,한강진,141188,32805,2418
197,6,2633,버티고개,132712,12542,1608
198,6,2634,약수,216065,31087,1483
199,6,2635,청구,180217,33384,1484
200,6,2636,신당,347434,63215,3273
201,6,2637,동묘앞,631692,113717,7176
202,6,2638,창신,176391,30587,1110
203,6,2639,보문,278536,50159,3747
204,6,2640,안암(고대병원앞),319659,70039,2881
205,6,2641,고려대(종암),309300,66339,2476
206,6,2642,월곡(동덕여대),653916,111694,6319
207,6,2643,상월곡(한국과학기술연구원),368597,69864,4288
208,6,2644,돌곶이,558365,93287,4978
209,6,2645,석계,717881,126439,9068
210,6,2646,태릉입구,286185,53120,3442
211,6,2647,화랑대(서울여대입구),432654,81828,9916
212,6,2648,봉화산(서울의료원),447742,78265,8173
213,7,2711,장암,99557,17851,1664
214,7,2712,도봉산,467321,82695,9347
