"동별(1)",동별(2),동별(3),계,남자,여자
"합계",도봉구,쌍문1동,1159,660,499
"합계",도봉구,쌍문2동,929,542,387
"합계",도봉구,쌍문3동,853,470,383
"합계",도봉구,쌍문4동,652,352,300
"합계",도봉구,방학1동,1484,883,601
"합계",도봉구,방학2동,1243,730,513
"합계",도봉구,방학3동,1035,605,430
"합계",도봉구,창1동,992,556,436
"합계",도봉구,창2동,1347,774,573
"합계",도봉구,창3동,782,483,299
"합계",도봉구,창4동,956,526,430
"합계",도봉구,창5동,958,560,398
"합계",도봉구,도봉1동,1478,868,610
"합계",도봉구,도봉2동,1477,857,620
"합계",도봉구,기타,0,0,0
"합계",노원구,소계,26696,14747,11949
"합계",노원구,월계1동,933,541,392
"합계",노원구,월계2동,2230,1266,964
"합계",노원구,월계3동,1973,1057,916
"합계",노원구,공릉2동,1391,780,611
"합계",노원구,하계1동,1994,1049,945
"합계",노원구,하계2동,983,515,468
"합계",노원구,중계본동,743,416,327
"합계",노원구,중계1동,727,401,326
"합계",노원구,중계4동,1471,798,673
"합계",노원구,상계1동,1911,1094,817
"합계",노원구,상계2동,849,485,364
"합계",노원구,상계5동,1292,744,548
"합계",노원구,상계8동,723,378,345
"합계",노원구,상계9동,722,406,316
"합계",노원구,상계10동,575,327,248
"합계",노원구,상계3.4동,1617,900,717
"합계",노원구,상계6.7동,1263,681,582
"합계",노원구,중계2.3동,3096,1668,1428
"합계",노원구,공릉1동,2203,1241,962
"합계",노원구,기타,0,0,0
"합계",은평구,소계,21732,12662,9070
"합계",은평구,녹번동,1667,949,718
"합계",은평구,불광1동,1709,957,752
"합계",은평구,갈현1동,853,494,359
"합계",은평구,갈현2동,1252,718,534
"합계",은평구,구산동,2172,1494,678
"합계",은평구,대조동,1243,726,517
"합계",은평구,응암1동,1360,751,609
"합계",은평구,응암2동,1002,567,435
"합계",은평구,신사1동,1229,727,502
"합계",은평구,신사2동,888,512,376
"합계",은평구,증산동,826,479,347
"합계",은평구,수색동,634,349,285
"합계",은평구,진관동,1959,1120,839
"합계",은평구,불광2동,1456,858,598
"합계",은평구,응암3동,1344,764,580
"합계",은평구,역촌동,2138,1197,941
"합계",은평구,기타,0,0,0
"합계",서대문구,소계,12348,6855,5493
"합계",서대문구,천연동,701,387,314
"합계",서대문구,홍제1동,948,526,422
"합계",서대문구,홍제3동,892,514,378
