"","호선","역명","승차총승객수"
"441","5호선","오금",1171685
"444","5호선","오목교(목동운동장앞)",7067971
"450","3호선","옥수",2956111
"452","7호선","온수(성공회대입구)",3255481
"455","5호선","올림픽공원(한국체대)",1553209
"457","2호선","왕십리(성동구청)",5491008
"458","5호선","왕십리(성동구청)",1490518
"461","2호선","용답",979182
"462","2호선","용두(동대문구청)",775326
"463","7호선","용마산(용마폭포공원)",1971170
"466","5호선","우장산",4703684
"476","6호선","월곡(동덕여대)",3859353
"478","6호선","월드컵경기장(성산)",1878222
"480","2호선","을지로3가",7155291
"481","3호선","을지로3가",3303779
"482","2호선","을지로4가",4084702
"483","5호선","을지로4가",1904946
"484","2호선","을지로입구",13029934
"486","6호선","응암",5725167
"489","2호선","이대",4760922
"492","7호선","이수",5221148
"494","4호선","이촌(국립중앙박물관)",2933809
"496","6호선","이태원",4051192
"505","3호선","일원",3244478
"507","2호선","잠실(송파구청)",25040626
"508","8호선","잠실(송파구청)",5055177
"509","2호선","잠실나루",4534929
"510","2호선","잠실새내",7176265
"511","3호선","잠원",1581650
"512","7호선","장승배기",2965653
"513","7호선","장암",764339
"514","8호선","장지",5607619
"515","5호선","장한평",5862132
"521","1호선","제기동",5722256
"523","1호선","종각",11310258
"524","1호선","종로3가",8664503
"525","3호선","종로3가",3155450
"526","5호선","종로3가",4577403
"527","1호선","종로5가",7523301
"528","2호선","종합운동장",3867994
"533","7호선","중계",4655370
"534","7호선","중곡",3508775
"539","7호선","중화",3505236
"541","6호선","증산(명지대앞)",3290901
"542","3호선","지축",1704644
"548","4호선","창동",8416078
"550","6호선","창신",1141661
"553","7호선","천왕",3640542
"554","5호선","천호(풍납토성)",6226331
"555","8호선","천호(풍납토성)",4876755
"556","7호선","철산",6879895
"557","5호선","청구",1270983
"558","6호선","청구",1183922
"559","7호선","청담",6045293
"561","1호선","청량리(서울시립대입구)",6740177
"567","4호선","총신대입구(이수)",6205414
"571","4호선","충무로",8364621
"572","2호선","충정로(경기대입구)",3103859
"573","5호선","충정로(경기대입구)",1407993
"576","6호선","태릉입구",1881331
"577","7호선","태릉입구",2965187
"588","7호선","하계",5809205
"589","5호선","하남검단산",2051168
"590","5호선","하남시청(덕풍·신장)",2337108
"591","5호선","하남풍산",1374185
"592","7호선","학동",7170644
"593","3호선","학여울",777240
"594","6호선","한강진",2928112
"597","4호선","한성대입구(삼선교)",4607224
"599","2호선","한양대",3403307
"601","2호선","합정",10613327
"602","6호선","합정",4593686
"603","5호선","행당",2628149
"605","4호선","혜화",11552800
"607","2호선","홍대입구",20953932
"610","3호선","홍제",5793306
"612","5호선","화곡",9267998
"613","6호선","화랑대(서울여대입구)",3830766
"619","4호선","회현(남대문시장)",7938536
"620","6호선","효창공원앞",2338277
