"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio"
"12","합계","종로구","이화동",312,169,143,7631,0.0408858603066439
"10","합계","종로구","종로1.2.3.4가동",383,284,99,8700,0.0440229885057471
"11","합계","종로구","종로5.6가동",258,170,88,5817,0.0443527591542032
"13","합계","종로구","창신1동",264,154,110,5383,0.0490432844138956
"14","합계","종로구","창신2동",516,298,218,8796,0.0586630286493861
"15","합계","종로구","창신3동",341,188,153,6606,0.0516197396306388
"18","합계","종로구","청운효자동",437,235,202,11818,0.0369774919614148
"6","합계","종로구","평창동",491,262,229,17858,0.0274946802553477
"19","합계","종로구","혜화동",577,333,244,19392,0.0297545379537954
"27","합계","중구","광희동",217,125,92,6682,0.0324753067943729
"33","합계","중구","다산동",631,356,275,13954,0.0452200085996847
"36","합계","중구","동화동",422,225,197,10199,0.0413766055495637
"24","합계","중구","명동",112,59,53,3638,0.0307861462341946
"21","합계","중구","소계",5552,3191,2361,130785,0.0424513514546775
"22","합계","중구","소공동",32,21,11,3578,0.00894354387926216
"29","합계","중구","신당5동",481,285,196,10513,0.0457528773898982
"32","합계","중구","신당동",404,260,144,9087,0.0444591174204908
"34","합계","중구","약수동",842,427,415,16610,0.0506923540036123
"28","합계","중구","을지로동",87,66,21,1912,0.0455020920502092
"26","합계","중구","장충동",198,104,94,5326,0.0371761171610965
"31","합계","중구","중림동",527,321,206,12338,0.042713567839196
"35","합계","중구","청구동",629,352,277,13451,0.0467623225039031
"25","합계","중구","필동",178,106,72,4816,0.0369601328903654
"30","합계","중구","황학동",509,304,205,13459,0.0378185600713277
"23","합계","중구","회현동",283,180,103,5222,0.0541937954806588
"119","합계","중랑구","망우3동",969,571,398,16303,0.059436913451512
"124","합계","중랑구","망우본동",1895,1100,795,35905,0.0527781646010305
"109","합계","중랑구","면목2동",1214,720,494,24206,0.0501528546641329
"123","합계","중랑구","면목3.8동",1274,747,527,24617,0.0517528537189747
"110","합계","중랑구","면목4동",1267,743,524,18746,0.0675877520537715
"111","합계","중랑구","면목5동",641,408,233,14836,0.0432057158263683
"112","합계","중랑구","면목7동",1006,597,409,21798,0.0461510230296357
"122","합계","중랑구","면목본동",1666,971,695,33856,0.0492084120982987
"117","합계","중랑구","묵1동",1444,829,615,34344,0.042045189843932
"118","합계","중랑구","묵2동",906,529,377,18624,0.0486469072164948
"113","합계","중랑구","상봉1동",1350,781,569,23714,0.0569283967276714
"114","합계","중랑구","상봉2동",793,456,337,20612,0.0384727343295168
"108","합계","중랑구","소계",20279,11773,8506,390140,0.0519787768493361
"120","합계","중랑구","신내1동",1961,1075,886,38205,0.0513283601622824
"121","합계","중랑구","신내2동",1514,829,685,20155,0.0751178367650707
"115","합계","중랑구","중화1동",930,566,364,19293,0.0482040118177577
"116","합계","중랑구","중화2동",1449,851,598,24926,0.0581320709299527
