"","동별.1.","동별.2.","동별.3.","계","남자","여자","pop","ratio"
"367","합계","관악구","인헌동",912,500,412,26119,0.0349171101496995
"375","합계","관악구","조원동",731,464,267,20490,0.0356759394826745
"366","합계","관악구","중앙동",589,348,241,15685,0.0375518010838381
"379","합계","관악구","청룡동",1149,671,478,37132,0.0309436604545944
"363","합계","관악구","청림동",663,381,282,15005,0.0441852715761413
"364","합계","관악구","행운동",1035,602,433,29636,0.0349237413955999
"86","합계","광진구","광장동",718,425,293,34362,0.0208951749025086
"83","합계","광진구","구의1동",805,469,336,24049,0.033473325294191
"84","합계","광진구","구의2동",1050,626,424,26573,0.0395137921950852
"85","합계","광진구","구의3동",792,427,365,28440,0.0278481012658228
"77","합계","광진구","군자동",789,460,329,21524,0.0366567552499535
"82","합계","광진구","능동",383,220,163,11561,0.0331286220915146
"75","합계","광진구","소계",12183,7026,5157,351252,0.0346845000170818
"87","합계","광진구","자양1동",929,537,392,22709,0.0409088907481615
"88","합계","광진구","자양2동",937,523,414,24253,0.0386343957448563
"89","합계","광진구","자양3동",787,435,352,27858,0.028250412807811
"90","합계","광진구","자양4동",861,512,349,21260,0.0404985888993415
"78","합계","광진구","중곡1동",669,382,287,15663,0.0427121241141544
"79","합계","광진구","중곡2동",904,517,387,21336,0.0423697037870266
"80","합계","광진구","중곡3동",743,440,303,16177,0.0459294059467145
"81","합계","광진구","중곡4동",1269,748,521,28405,0.0446752332335856
"76","합계","광진구","화양동",547,305,242,27082,0.0201979174359353
"306","합계","구로구","가리봉동",536,346,190,12653,0.0423614952975579
"308","합계","구로구","개봉1동",1620,981,639,34105,0.0475003665151737
"302","합계","구로구","개봉2동",1438,856,582,30665,0.0468938529267895
"303","합계","구로구","개봉3동",1057,628,429,20251,0.0521949533356377
"300","합계","구로구","고척1동",1148,700,448,25636,0.0447807770322983
"301","합계","구로구","고척2동",1368,806,562,26557,0.0515118424520842
"296","합계","구로구","구로1동",533,323,210,20936,0.0254585403133359
"307","합계","구로구","구로2동",1447,841,606,30093,0.0480842720898548
"297","합계","구로구","구로3동",924,538,386,25055,0.0368788664937138
"298","합계","구로구","구로4동",1229,700,529,23052,0.0533142460524033
"299","합계","구로구","구로5동",1164,699,465,31740,0.0366729678638941
"294","합계","구로구","소계",18520,10980,7540,418418,0.0442619581375562
"305","합계","구로구","수궁동",1279,769,510,23332,0.0548174181381793
"295","합계","구로구","신도림동",954,565,389,36138,0.026398804582434
"304","합계","구로구","오류1동",1137,662,475,23126,0.0491654414944219
"309","합계","구로구","오류2동",2104,1209,895,38528,0.054609634551495
"310","합계","구로구","항동",582,357,225,16551,0.0351640384266812
"313","합계","금천구","가산동",751,479,272,26569,0.0282660243140502
"314","합계","금천구","독산1동",2054,1236,818,47573,0.0431757509511698
"315","합계","금천구","독산2동",970,603,367,19562,0.0495859319088028
"316","합계","금천구","독산3동",1235,765,470,27239,0.0453394030617864
"317","합계","금천구","독산4동",798,505,293,16432,0.0485637779941577
"312","합계","금천구","소계",11615,7005,4610,242818,0.0478341803325948
"318","합계","금천구","시흥1동",1688,1003,685,34054,0.0495683326481471
"319","합계","금천구","시흥2동",1131,648,483,20832,0.0542914746543779
"320","합계","금천구","시흥3동",548,330,218,10701,0.0512101672740865
"321","합계","금천구","시흥4동",1172,699,473,20614,0.0568545648588338
"322","합계","금천구","시흥5동",1268,737,531,19242,0.0658975158507432
"198","합계","노원구","공릉1동",2203,1241,962,37184,0.0592459122203098
"183","합계","노원구","공릉2동",1391,780,611,42538,0.0327001739621045
"194","합계","노원구","상계10동",575,327,248,18477,0.0311197705255182
"189","합계","노원구","상계1동",1911,1094,817,37857,0.0504794357714557
"190","합계","노원구","상계2동",849,485,364,19629,0.0432523307351368
"195","합계","노원구","상계3.4동",1617,900,717,25324,0.0638524719633549
"191","합계","노원구","상계5동",1292,744,548,23737,0.0544297931499347
"196","합계","노원구","상계6.7동",1263,681,582,32044,0.039414554986893
"192","합계","노원구","상계8동",723,378,345,22344,0.0323576799140709
"193","합계","노원구","상계9동",722,406,316,20071,0.0359722983408898
"179","합계","노원구","소계",26696,14747,11949,508014,0.0525497328813773
"180","합계","노원구","월계1동",933,541,392,21580,0.0432344763670065
"181","합계","노원구","월계2동",2230,1266,964,26066,0.0855520601549912
"182","합계","노원구","월계3동",1973,1057,916,29384,0.06714538524367
"187","합계","노원구","중계1동",727,401,326,26580,0.0273513920240783
"197","합계","노원구","중계2.3동",3096,1668,1428,33497,0.0924261874197689
"188","합계","노원구","중계4동",1471,798,673,19601,0.075047191469823
"186","합계","노원구","중계본동",743,416,327,23477,0.0316479959108915
"184","합계","노원구","하계1동",1994,1049,945,26982,0.073901119264695
"185","합계","노원구","하계2동",983,515,468,21642,0.0454209407633306
"176","합계","도봉구","도봉1동",1478,868,610,20622,0.0716710309378334
"177","합계","도봉구","도봉2동",1477,857,620,26359,0.0560339921848325
"168","합계","도봉구","방학1동",1484,883,601,28410,0.0522351284758888
"169","합계","도봉구","방학2동",1243,730,513,19354,0.0642244497261548
"170","합계","도봉구","방학3동",1035,605,430,26500,0.0390566037735849
"163","합계","도봉구","소계",15345,8866,6479,313989,0.048871138797856
"164","합계","도봉구","쌍문1동",1159,660,499,21445,0.0540452319888086
"165","합계","도봉구","쌍문2동",929,542,387,18461,0.0503223010671145
"166","합계","도봉구","쌍문3동",853,470,383,16934,0.0503720325971418
"167","합계","도봉구","쌍문4동",652,352,300,18348,0.0355352081970787
"171","합계","도봉구","창1동",992,556,436,24502,0.0404864908987021
"172","합계","도봉구","창2동",1347,774,573,28957,0.0465172497150948
"173","합계","도봉구","창3동",782,483,299,13633,0.0573608156678647
"174","합계","도봉구","창4동",956,526,430,26121,0.036598905095517
"175","합계","도봉구","창5동",958,560,398,24343,0.0393542291418478
"106","합계","동대문구","답십리1동",1069,602,467,28530,0.0374693305292674
"101","합계","동대문구","답십리2동",1427,822,605,28055,0.0508643735519515
"92","합계","동대문구","소계",15481,8998,6483,353601,0.0437809847822829
"97","합계","동대문구","용신동",1582,942,640,36137,0.0437778454215901
"104","합계","동대문구","이문1동",783,480,303,21366,0.0366470092670598
"105","합계","동대문구","이문2동",1023,594,429,20183,0.0506862210771441
"102","합계","동대문구","장안1동",1666,987,679,38677,0.0430746955554981
"103","합계","동대문구","장안2동",1323,781,542,32685,0.0404772831574117
"99","합계","동대문구","전농1동",1432,832,600,29220,0.0490075290896646
"100","합계","동대문구","전농2동",900,505,395,18629,0.0483117719684363
"98","합계","동대문구","제기동",1391,778,613,26484,0.0525222776015708
"96","합계","동대문구","청량리동",1221,703,518,19094,0.0639467895674034
"93","합계","동대문구","회기동",313,182,131,13536,0.0231235224586288
"94","합계","동대문구","휘경1동",483,284,199,16339,0.0295611726543852
"95","합계","동대문구","휘경2동",868,506,362,24666,0.0351901402740615
"358","합계","동작구","노량진1동",1251,704,547,32114,0.0389549729090116
"345","합계","동작구","노량진2동",545,313,232,11234,0.0485134413387929
"354","합계","동작구","대방동",1542,866,676,37056,0.0416126943005181
"350","합계","동작구","사당1동",754,453,301,23009,0.0327697857360163
